Text	Sentiment	Category
All our dreams can come true, if we have the courage to pursue them.	0	advice
The secret of getting ahead is getting started.	0	advice
I’ve missed more than 9,000 shots in my career. I’ve lost almost 300 games. 26 times I’ve been trusted to take the game winning shot and missed. I’ve failed over and over and over again in my life and that is why I succeed.	0	personal-experience
Don’t limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve.	1	worldview
The best time to plant a tree was 20 years ago. The second best time is now.	0	advice
Only the paranoid survive.	1	worldview
It’s hard to beat a person who never gives up.	0	personal-experience
I wake up every morning and think to myself, ‘how far can I push this company in the next 24 hours.’	0	personal-experience
If people are doubting how far you can go, go so far that you can’t hear them anymore.	0	advice
We need to accept that we won’t always make the right decisions, that we’ll screw up royally sometimes – understanding that failure is not the opposite of success, it’s part of success.	0	advice
Write it. Shoot it. Publish it. Crochet it, sauté it, whatever. MAKE.	0	advice
You’ve gotta dance like there’s nobody watching, love like you’ll never be hurt, sing like there’s nobody listening, and live like it’s heaven on earth.	0	worldview
Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.	0	worldview
Everything you can imagine is real.	1	worldview
When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.	1	worldview
Do one thing every day that scares you.	0	advice
It’s no use going back to yesterday, because I was a different person then.	0	advice
Smart people learn from everything and everyone, average people from their experiences, stupid people already have all the answers.	0	worldview
Do what you feel in your heart to be right	0	advice
Happiness is not something ready made. It comes from your own actions.	0	worldview
Whatever you are, be a good one.	0	advice
The same boiling water that softens the potato hardens the egg. It’s what you’re made of. Not the circumstances.	0	worldview
If we have the attitude that it’s going to be a great day it usually is.	1	worldview
You can either experience the pain of discipline or the pain of regret. The choice is yours.	0	worldview
Impossible is just an opinion.	1	worldview
Your passion is waiting for your courage to catch up.	0	worldview
Magic is believing in yourself. If you can make that happen, you can make anything happen.	1	worldview
If something is important enough, even if the odds are stacked against you, you should still do it.	0	advice
Hold the vision, trust the process.	0	advice
Don’t be afraid to give up the good to go for the great.	0	advice
People who wonder if the glass is half empty or full miss the point. The glass is refillable.	0	worldview
One day or day one. You decide.	0	worldview
It’s Monday… time to motivate and make dreams and goals happen. Let’s go!	0	advice
So. Monday. We meet again. We will never be friends—but maybe we can move past our mutual enmity toward a more-positive partnership.	0	affirmation
When life gives you Monday, dip it in glitter and sparkle all day.	0	worldview
I’m alive, motivated and ready to slay the day #MONSLAY	0	affirmation
No one is to blame for your future situation but yourself. If you want to be successful, then become “Successful.”	1	worldview
Things may come to those who wait, but only the things left by those who hustle.	0	worldview
Everything comes to him who hustles while he waits.	0	worldview
